id,razao,cnpj,contato,telefone,celular,cidade,estado,email,cond_pgto,cond_transporte,cep,end_numero,complemento,logradouro,bairro
100,"SETEGUSA SIDERURGICA LTDA",30.554.734/0002-64,EMERSON,"(31) 3195-2953",N,"TRÊS LAGOAS",MG,compras1@setegusa.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
101,"SIDEROL RECUPERACAO DE METAIS LTDA",04.884.440/0003-71,GUSTAVO,(19)3303-8368,N,SUMARÉ,SP,tec.seguranca@siderol.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
102,SIDERTEC,56.959.422/0003-05,JONAS,"(16) 3353-7353",N,IBATÉ,SP,jonas.baptista@sidertec.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
103,"SIDERURGICA SAO JOAQUIM S.A",45.365.541/0001-51,RAFAEL,(16)3810-1414,N,"SÃO JOAQUIM DA BARRA",SP,Rafael.covas@siderurgicasj.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
104,"SIMETRIA DESENHOS INDUSTRIAIS E COMERCIO LTDA",18.374.886/0001-07,RICARDO,(11)2669-5690,N,"SÃO BERNARDO DO CAMPO",SP,ricardo.ferraz@simetria.net.br,"30 DDL","SEDEX OU TRANSPORTADORA",09750-700,226,NULL,NULL,NULL
105,"SIVA CABOS DE ACO",62.576.749/0001-39,MARCELO,"(11) 4646-4646",(11)99653-5881,ITAQUAQUECETUBA,SP,compras@siva.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",08573-360,200,NULL,NULL,NULL
106,"SPANSET DO BRASIL LTDA",02.728.994/0001-92,PÃMELA,(24)3360-4595,(24)99315-3237,RESENDE,RJ,suporte@spanset.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
107,"TRIUNFO LOGISTICA",29.355.260/0011-33,DEBORA,(21)3550-6175,(21)97020-2716,"RIO DE JANEIRO",RJ,deborah.britto@triunfologistica.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
108,"TRIUNFO LOGISTICA",29.355.260/0011-33,DANDARA,(21)3550-6175,(21)99889-2082,"RIO DE JANEIRO",RJ,dandara.rodrigues@triunfologistica.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
109,"UNIBRAE COMPONENTES ELETRONICOS LTDA",02.409.573/0001-0,CINTHIA,(11)3521-3900,(11)95791-8568,"SÃO PAULO",SP,vendas20@unibrae.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
110,"UNILINK TRANSPORTES INTEGRADOS LTDA",04.009.865/0001-70,DENISE,"(85) 3270-3105",N,FORTALEZA,CE,compras@unilinktransportes.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
111,"VALEO SISTEMAS AUTOMOTIVOS LTDA",57.010.662/0001-60,JOEL,(11)4534-8473,N,ITATIBA,SP,joel.picolo@valeo.com,"30 DDL","CIF - POSTO NA S/FABRICA - ITATIBA-SP",13252-903,"KM 97",NULL,NULL,NULL
112,"VANDER PARAFUSOS E FERRAMENTAS LTDA - ME",45.626.579/0001-30,VANDER,"(11)2209-9900 ",(11)93243-4972,FRANCA,SP,vanderferramentas@uol.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
113,"VASTEC - EQUIPAMENTOS INDUSTRIAIS LTDA",44.895.969/0001-43,LUCAS,(11)3572-8035,N,COTIA,SP,lucas.marques@vastec.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",06703-600,725,NULL,NULL,NULL
114,"VOLVO CONSTRUCTION EQUIPMENT",29.307.609/0001-90,LEONARDO,(14)2212-9649,(14)99882-9555,PEDERNEIRAS,SP,leonardo.mathias@volvo.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",17280-768,1915,NULL,NULL,NULL
115,"WEBPAR COMERCIO DE PARAFUSOS EIRELI",23.076.121/0001-12,MILENA,(11)94813-5148,N,"SANTO ANDRÉ",SP,milenardg@gmail.com,"À VISTA","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",09060-710,169,NULL,NULL,NULL
116,"WEIR DO BRASIL LTDA",00.212.562/0014-13,ELOÃ,(11)2448-9241,N,JUNDIAÍ,SP,eloa.martins@mail.weir,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",N,N,NULL,NULL,NULL
117,"ZEPPELIN SYSTEMS",47.898.135/0001-80,LUAN,(11)4393-9400,N,"SÃO BERNARDO DO CAMPO",SP,luan.lopes@zeppelin-la.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",09851-707,650,NULL,NULL,NULL
118,"VILLARES METALS S/A",42.566.752/0004-07,PORTAL,N,N,SUMARÉ,SP,PORTAL,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",13178-902,155,NULL,NULL,NULL
142,"DEDINI S/A INDUSTRIAS DE BASE",50.109.271/0001-58,"PAULO ROEL","(19) 3403-3290","(19) 93403-3263",Piracicaba,SP,paulo.roel@dedini.com.br,"A VISTA","CIF: POSTO EM S/FABRICA EM PIRACICABA-SP",13412-900,"KM 26,3",,"Rodovia Fausto Santomauro","Parque São Jorge"
143,"CABOPEC CABOS DE ACO E PECAS LTDA",81.463.630/0002-85,MAX,"(41) 3213-4200",,Curitiba,PR,compras@cabopec.com.br,"30 DDL","FOB- POSTO NA TRANSPORTADORA EM PORTO FELIZ",80220-031,3477,,"Rua Desembargador Westphalen",Parolin
144,"MMB METALS - MOXBA METALURGICA DO BRASIL",13.009.445/0001-84,JULIA,"(11) 4271-4690","(11) 94204-2400",Araçariguama,SP,julia.berto@mmbmetals.com.br,"30 DDL","CIF - POSTO EM S/FABRICA EM ARACARIGUAMA-SP",18147-000,100,,"Rua São Marcos","Distrito Industrial"
145,"MMB METALS - MOXBA METALURGICA DO BRASIL",13.009.445/0001-84,SANDRO,"(11) 4271-4690",,Araçariguama,SP,sandro.santos@mmbmetals.com.br,"30 DDL","CIF - POSTO EM S/FABRICA EM ARACARIGUAMA-SP",18147-000,100,,"Rua São Marcos",
150,"MECANICA INDUSTRIAL NUNES LTDA",00.085.144/0001-98,KAREN,"(31) 3742-1919 ","(31) 3742-1919","Ouro Branco",MG,karen.fideles@mecanicanunes.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",36490-024,391,GALPAOB,"R ANTONIO JOAO VIEIRA",CENTRO
151,"DEFRAN - PRODUTOS PARA MOVIMENTACAO DE CARGAS LTDA",66.521.337/0001-52,ROBERTO,1532624134,,"Porto Feliz",SP,defran@defran.com.br,30DDL,CIF,18540000,966,N,"AVENIDA GETULIO VARGAS",BAMBU
152,"ROMI S.A.",56.720.428/0014-88,CRISTIANE,1934559262,1934559424,"Santa Bárbara d'Oeste",SP,crmonteiro@romi.com,"33 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",13459057,S/N,"KM 141 5","RODOVIA LUIZ DE QUEIROZ","DISTRITO INDUSTRIAL SUL"
153,"AKESAN COMERCIO E SERVICOS LTDA",47.417.916/0001-05,GABRIEL,2194248128,,"Rio de Janeiro",RJ,gabriel@akesan.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ",20530001,01385,"APT 401","RUA CONDE DE BONFIM",TIJUCA
154,"EPS COMERCIO DE MATERIAIS ELETRICOS LTDA",14.039.645/0001-42,REJANE,2126711010,(21)-96404-1692,"Rio de Janeiro",RJ,rejane@epsrio.com.br,"30 DDL","FOB - POSTO BA TRANSPORTADORA EM PORTO FELIZ-SP",21011000,107,"SALA 205","RUA DA SOJA","PENHA CIRCULAR"
155,"TECNOFINE DO BRASIL SERVICOS LTDA",11.427.863/0001-66,RUAN,"(22) 3087-2854","(22) 98108-8956",Macaé,RJ,comercial2@tecnolocdobrasil.com.br,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",27925540,S/N,PARTE,"ESTRADA HELIO ROSA DOS SANTOS",IMBOASSICA
156,"VITEC EQUIPAMENTOS INDUSTRIAIS LTDA",22.647.918/0001-60,RENAN,(15)3229-5566,,"Salto de Pirapora",SP,renan.fogaca@vitec.eng.br,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",18160000,415,EMPRESA,"RUA PROJETADA DOIS","DISTRITO INDUSTRIAL"
157,"FERRAMENTARIA GASPEC LTDA EM RECUPERACAO JUDICIAL",03.635.958/0001-47,DINA,(11)4421-1866,1142211866,"Santo André",SP,dina@gastec.com.br,"30/45 DDL","CIF - POSTO NA S/FABRICA EM SANTO ANDRE/SP",09060820,255,EMPRESA,"AVENIDA NOVO HORIZONTE","VILA SACADURA CABRAL"
158,"FAGMOL INDUSTRIA E COMERCIO LTDA",54.896.139/0001-94,ELIANE,(19)3475-9970,"(19) 3478-1206",Americana,SP,compras@fagmol.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",13478731,110,EMPRESA,"RUA DO SERRALHEIRO","JARDIM INDUSTRIAL WERNER PLAAS"
159,"METSO BRASIL INDUSTRIA E COMERCIO LTDA",16.622.284/0010-89,EVERTON," (15) 2102-1882 ",1521021800,Sorocaba,SP,everton.o.santos@mogroup.com,"30 DDL","CIF - POSTO NA S/FABRICA - SOROCABA - SP",18087149,5501,EMPRESA,"AVENIDA FERNANDO STECCA",IPORANGA
160,"ETHOS METALURGICA LTDA",60.431.889/0001-93,TATIANE,"(15) 3363-9680","(15) 3263-1021",Boituva,SP,tatiane.tirabassi@ethos.ind.br,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",18550000,S/N,"KM-15,7 - PREDIO A","RODOVIA SP 129 - PORTO FELIZ / TATUI","CAMPO DE BOITUVA"
161,"DEDINI S/A INDUSTRIAS DE BASE",50.109.271/0001-58,MARCIO,(19)3403-5308,"(19) 3403-3263",Piracicaba,SP,marcio.mattos@dedini.com.br,"A VISTA","CIF - POSTO NA S/FABRICA PIRACICABA-SP",13412900,"S N","Km 26.3","null Rodovia Rodovia Fausto Santomauro, km 26,3","Santa Rosa"
162,"FASTENAL BRASIL IMPORTACAO, EXPORTACAO E DISTRIBUICAO LTDA.",13.182.443/0003-54,BRENDAW,(31)3311-8111,"(15) 3238-3399","Sete Lagoas",MG,rmartin@fastenal.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",35703387,S/N,EMPRESA,"RUA PADRE TARCISIO GONCALVES","CIDADE DE DEUS"
163,"JERPAR COMERCIO E MANUTENCAO DE MAQUINAS INDUSTRIAIS LTDA",07.983.891/0001-92,BRYAN,(19)3287-6691,(19)93287-6691,Campinas,SP,bryan@jerpar.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",13035730,195,EMPRESA,"AVENIDA SILVIO MORO","VILA INDUSTRIAL"
164,"PAREX ENGENHARIA S.A.",00.532.740/0005-00,DANIELA,(31)3526-6800,3193526-8125,Parauapebas,PA,daniela.alvares@parex.com.br,"30 DDL","FOB- POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",68515000,S/N,"KM45 - QUADRA017                 LOTE  002","RODOVIA PA 160","LOTEAMENTO ESPLANADA"
165,"JOYSON SAFETY SYSTEMS BRASIL LTDA",59.106.245/0001-40,ADRINE,," (11)4585-3790",Jundiaí,SP,adrine.nunes@joysonsafety.com,"30 DDL","CIF-POSTO NA S/FABRICA JUNDIAI-SP",13212240,S/N,"KM 66","RODOVIA D GABRIEL P BUENO COUTO",MEDEIROS
166,"SOMIX RIO DISTRIBUIDORA LTDA",21.644.071/0001-05,MARCIO,(21)2620-0659," (22)98108-6856","Rio de Janeiro",RJ,comprasoffshore@somixrio.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",21040170,00605,EMPRESA,"RUA DA REGENERACAO",BONSUCESSO
167,"TECHOCEAN SERVICOS INDUSTRIAIS",68.753.482/0001-94,"ANA FLAVIA"," (22)2765-9164",(22)99784-1222,MACAE,RJ,amonteiro@tech-aasj.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",27930-400,830,"QUADRAN.04 LOTE  N.11","RUA ALAMEDA DO ACUDE","NOVO CAVALEIROS"
168,"ARGOM MAQUINAS EQUIPAMENTOS COMERCIAIS INDUSTRIAIS E SERVICOS LTDA",32.287.721/0001-10,VITOR,"(21) 3950-0134",(21)99579-6648,"Rio de Janeiro",RJ,comercial5@argom-equipamentos.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",20920290,00020,EMPRESA,"TRAVESSA MARECHAL AGUIAR",BENFICA
169,"T-NAX OIL & GAS LTDA",27.314.690/0001-00,EDUARDA,(19)3573-0277,"(19) 3572-1100",Leme,SP,eduarda.guarda@t-nax.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",13612383,365,EMPRESA,"RUA OSWALDO SACHI","DISTRITO INDUSTRIAL"
170,"TECTRADE COMERCIAL LTDA",67.741.330/0001-09,JEAN,1120982440,"(11) 2942-8444","São Paulo",SP,tectrade@tectrade.com.b,"A VISTA","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",03085030,97,"APT   112                 BLOCO A","RUA JOSE TAVARES SIQUEIRA","PARQUE SAO JORGE"
171,"AKAER ENGENHARIA S.A.",65.047.250/0001-22,BRUNA,(12)2139-1100,"(12) 98218-1795","São José dos Campos",SP,bruna.silva@akaer.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP ",12247014,501,EMPRESA,"AVENIDA CESARE MANSUETO GIULIO LATTES","EUGENIO DE MELLO"
172,"TRITON MARITIME COMERCIO E SERVICOS LTDA",37.138.986/0001-70,HENRIQUE,(21)2589-1025,,Niterói,RJ,lhm@tritonmaritime.com.br,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",24030107,500,"SALA  610","RUA MAESTRO FELICIO TOLEDO",CENTRO
173,"PARAFIXO PARAFUSOS E FIXADORES LTDA",17.265.247/0001-32,MARCIO,(11)2764-1445,(11)94755-0618,"Santo André",SP,marcioneves@parafixo.com.br,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",09090521,892,EMPRESA,"RUA DAS MONCOES",JARDIM
174,"VEDACOES MAKITA ACESSORIOS INDUSTRIAIS LTDA",52.868.510/0003-40,HEVELLIN,(19)3737-4700,"1593229-2111 ",Sorocaba,SP,compras2.sorocaba@vedacoesmakita.com.br,30DDL,"CIF - POSTO NA S/FABRICA - SOROCABA-SP",18087101,1251,EMPRESA,"AVENIDA INDEPENDENCIA",IPORANGA
175,"SERVICOS BRASILEIROS DE SUPRIMENTOS, COMERCIO E IMPORTACOES LTDA",12.556.787/0001-51,GABRIELA,1136661494,,"São Paulo",SP,gabrielavaz@sbs-br.com,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",05626001,662,EMPRESA,"Rua Andre Saraiva","Vila Sonia"
176,"ATRIUMETAL INDUSTRIA E COMERCIO DE METAIS LTDA",09.427.502/0001-78,RICARDO,(47)3025-4773,"(47) 99993-1742",Araquari,SC,compras@atriumetal.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",89245000,1095,EMPRESA,"RUA ANTONIO AMORIM","PORTO GRANDE"
177,"SG COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO LTDA",27.594.387/0001-08,HENRIQUE,9284144429,9291862891,Manaus,AM,henrique.sgprod@gmail.com,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",69082265,2395,"LOJA  02","AVENIDA AUTAZ MIRIM",COROADO
178,"WGS COMERCIO & SERVICOS LTDA",29.954.416/0001-20,ELMER,(11)2925-7804,"(11) 95039-1840","São Paulo",SP,elmer.danilo@grupowgs.com.br,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",04713002,1601,"CONJ  1715","RUA DA PAZ","CHACARA SANTO ANTONIO (ZONA SUL)"
179,"TELEGRAFICA ENERGIA LTDA",07.655.514/0002-05,PAULO,6536458000,,"Campos de Júlio",MT,PAULO.PIRES@bomfuturo.com.b,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",78319000,S/N,"KM 102.5 MARGEM ESQUERDA DO RIO JURUENA","ENTRADA DO PONTAL","ZONA RURAL"
180,"TURO GROUP COMERCIO E SERVICOS",48.858.118/0001-81,RODRIGO,(22)9816-6366,"(22) 99828-4668",Macaé,RJ,groupturo@gmail.com,"30 DDL"," FOB ? POSTO NA TRANSPORTADORA EM PORTO FELIZ- S",27963634,47,EMPRESA,"RUA HILDO RAMALHO","PARQUE AEROPORTO"
181,"BRUMAZI EQUIPAMENTOS INDUSTRIAIS LTDA",60.136.249/0001-50,EDUARDO,(16)3946-8777,1639468777,Sertãozinho,SP,eduardo.figueiredo@brumazi.com.br,"30 DDL","FOB – POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",14175300,1650,EMPRESA,"AVENIDA ANTONIO VALDIR MARTINELLI","DISTRITO INDUSTRIAL"
182,"SOMAFILTROS INDUSTRIA E COMERCIO LTDA",65.665.408/0001-28,ADEMIR,(13)3224-9466,"(13) 93321-7195",Santos,SP,cotapetro@somafiltros.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",11070101,310,"SALA  A","RUA CARVALHO DE MENDONCA","VILA BELMIRO"
183,"TRADYLOG COMERCIO DE EQUIPAMENTOS E SERVICOS LTDA",47.330.307/0001-14,JONATAS,2297780115,"(12) 98839-4267","São Paulo",SP,comerciotradylog@gmail.com,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",03432000,448,"SALA  1","RUA PICINGUABA","VILA SANTA ISABEL"
184,"STAHL TALHAS EQUIPAMENTOS DE MOVIMENTACAO LTDA",05.811.776/0001-05,VALDECI,1141477777," (11)94147-7778","Itapecerica da Serra",SP,valdecir.rodrigues@stahlserv.com.br,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",06882700,S/N,"KM    292,7","RODOVIA REGIS BITTENCOURT",POTUVERA
185,"DEDINI S/A INDUSTRIAS DE BASE",50.109.271/0001-58,ALEX,1934035308,1934033031,Piracicaba,SP,alex.araujo@dedini.com.br,"A VISTA","CIF - POSTO EM S/FABRICA EM PIRACICABA-SP",13412900,"S N","KM    26.3","RODOVIA RODOVIA FAUSTO SANTOMAURO, KM 26,3","SANTA ROSA"
186,"DEDINI S/A INDUSTRIAS DE BASE",50.109.271/0001-58,ALESSANDRA,1934035308,1934033031,Piracicaba,SP,alessandra.araujo@dedini.com.br,"A VISTA","CIF - POSTO EM S/FABRICA EM PIRACICABA-SP",13412900,"S N","KM    26.3","RODOVIA RODOVIA FAUSTO SANTOMAURO, KM 26,3","SANTA ROSA"
187,"MECANICA BONFANTI SA",51.378.321/0001-65,BRUNA,1935734400,,Leme,SP,bruna.camargo@bonfanti.com.br,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",13612410,1700,EMPRESA,"null Avenida Ferdinando Marchi","Distrito Industrial"
188,"ADDN ASSISTENCIA TECNICA COMERCIO E INDUSTRIA LTDA",71.774.004/0001-75,RIVAILDO," (16) 3946-3826",,Sertãozinho,SP,"compras2@addn.com.br ","28 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",14176153,43,EMPRESA,"RUA AMADEU BONATO","DISTRITO INDUSTRIAL"
189,"MEFSA MECANICA E FUNDICAOSANTO ANTONIO LTDA",54.378.195/0001-37,JOAO,1934159200,,Piracicaba,SP,compras.joao@mefsa.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",13405971,S/N,"KM    176","RODOVIA SP 308 PIRACICABA/CHARQUEADA","DA RETA"
190,"METSO BRASIL INDUSTRIA E COMERCIO LTDA",16.622.284/0010-89,VINICIUS,1521021855,1521021300,Sorocaba,SP,vinicius.mustafa@metso.com,"30 DDL","CIF - POSTO NA S/FABRICA - SOROCABA - SP",18087149,5501,EMPRESA,"AVENIDA FERNANDO STECCA",IPORANGA
191,"AKAER ENGENHARIA S.A.",65.047.250/0001-22,GUSTAVO,"(12) 2139-1176","(12) 98218-1795","São José dos Campos",SP,gustavo.carvalho@akaer.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",12247014,501,EMPRESA,"AVENIDA CESARE MANSUETO GIULIO LATTES","EUGENIO DE MELLO"
192,"LANXESS - INDUSTRIA DE PRODUTOS QUIMICOS E PLASTICOS LTDA.",06.176.436/0002-01,ORIVALDO,1137416530,,"Porto Feliz",SP,orivaldo.santos@lanxess.com,"30 DDL","CIF - POSTO NA S/FABRICA - PORTO FELIZ-SP",18540850,S/N,"KM    139","RODOVIA MARECHAL RONDON",CANGUERA
193,"BR COMPRESSORES SERVICE LTDA",05.808.502/0001-67,VICTORIA,7133423337,,Salvador,BA,comercial07@brcompressores.com,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",41820022,290,"Edif. Boulevard Side Empresarial Sala 2204","null Rua Ewerton Visco","Caminho das Arvores"
194,"KOMATSU DO BRASIL LTDA",44.410.199/0001-00,LEONARDO,1147457194,1147457000,Suzano,SP,leonardo.dias@komatsu.com.br,"30 DDL","FOB - POSTO TRANSPORTADORA EM PORTO FELIZ/SP",08655000,2000,"CXPST 290","RODOVIA INDIO TIBIRICA","VILA SOL NASCENTE"
195,"METALURGICA SCHADEK LTDA",60.851.417/0006-02,VITOR,1532628890,,"Porto Feliz",SP,vitor.pereira@schadek.com.br,"30 DDL","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",18540382,"KM 132",EMPRESA,"RODOVIA MARECHAL RONDON",BAMBU
196,"LINGATEC SOLUCAO EM MOVIMENTACAO DE CARGAS LTDA",06.956.806/0001-34,JULIANO,1136435600,,Caieiras,SP,compras@lingatec.com.br,"30 DDL","FOB-POSTA NA TRANSPORTADORA EM PORTO FELIZ-SP",07747300,600,"ANDAR TERREO","RUA DANILO VALBUZA",LARANJEIRAS
197,"AMSTED-MAXION FUNDICAO E EQUIPAMENTOS FERROVIARIOS S/A",01.599.436/0001-01,MARIANA,1131841148,,Cruzeiro,SP,mariana.silva@amstedmaxion.com.br,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",12730010,77,EMPRESA,"RUA DOUTOR OTHON BARCELOS",ITAGACABA
198,"LINGATEC SOLUCAO EM MOVIMENTACAO DE CARGAS LTDA",06.956.806/0001-34,MICHAEL,1136435600,,Caieiras,SP,vendas2@lingatec.com.br,"30 DDL","FOB – POSTO NA TRANSPORTADORA EM PORTO FELIZ – SP",07747300,600,"ANDAR TERREO","RUA DANILO VALBUZA",LARANJEIRAS
199,"ZEPPELIN SYSTEMS LATIN AMERICA EQUIPAMENTOS INDUSTRIAIS LTDA",47.898.135/0001-80,EDMILSON,1143939431,1143939400,"São Bernardo do Campo",SP,edmilson.silva@zeppelin-la.com,"30 DDL","FOB- POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",09851707,650,EMPRESA,"RUA JOAO XXIII",COOPERATIVA
200,"PAMA MECANICA E FUNDICAO LTDA",57.030.819/0001-19,MAIRA,1621052727,1621052744,Sertãozinho,SP,maira.aparecida@pamafund.com.br,30DDL,"FOB- POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",14176150,269,EMPRESA,"RUA ALBINO DE RUSSI","DISTRITO INDUSTRIAL"
201,"LIFTEC BRASIL SUPRIMENTOS INDUSTRIAIS LTDA",07.414.398/0001-51,NIVALDO,(11)3711-1011,"15 99903-9350",Carapicuíba,SP,nivaldo@liftec.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",06341160,292,EMPRESA,"RUA ITAJUBA","PARQUE SANTA THERESA"
202,"LIFTEC BRASIL SUPRIMENTOS INDUSTRIAIS LTDA",07.414.398/0001-51,BRUNO,1137111011,"15 99903-9350",Carapicuíba,SP,vendas1@liftec.com.br,"30 DDL","FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",06341160,292,EMPRESA,"RUA ITAJUBA","PARQUE SANTA THERESA"
203,"EQUIPAMAX EQUIPAMENTOS LTDA.",45.101.968/0001-42,IRANY,(31)3394-0040,(31)98556-7456,"Belo Horizonte",MG,vendas1@equipamax.com,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",31340280,321,EMPRESA,"RUA GLAUBER ROCHA",PAQUETA
204,"TECSERV CALDEIRARIA E USINAGEM LTDA",34.774.694/0001-36,PRISCILLA,2433282779,,"Barra Mansa",RJ,tecserv.compras@outlook.com,30DDL,"FOB-POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",27340002,571,GALPAOQ000,"RODOVIA PRESIDENTE VARGAS","SANTA CLARA"
205,"DEDINI S/A E MECANICA VILA RESENDE",50.109.271/0014-72,VALDECI,1934035308,1934033031,Piracicaba,SP,valdecir.bolzan@dedini.com.br,"A VISTA","FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",13412900,"S N","KM    26.3","RODOVIA RODOVIA FAUSTO SANTOMAURO, KM 26,3","SANTA ROSA"
207,"AGRI-TILLAGE DO BRASIL INDUSTRIA E COMERCIO DE MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA",03.321.768/0001-55,LEONARDO,1632216500,1633836581,Matão,SP,lfcolono@baldan.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ - SP",15993000,1500,EMPRESA,"AVENIDA BALDAN","NOVA MATAO"
208,"MEGALASER INDUSTRIA METALURGICA LTDA",08.614.279/0001-05,ITALO,(19)3492-4242,"19 98345-6161",Capivari,SP,italo.piovesan@megalaser.com.br,30DDL,"CIF -POSTO EM S/FABRICA - CAPIVARI-SP",13360000,325,EMPRESA,"RUA CAETANO SORAGGI","DISTRITO INDUSTRIAL"
209,"CLAMPER INDUSTRIA E COMERCIO S.A",66.429.895/0001-92,ERLON,(31)3689-9532,"(31) 98437-4598","Lagoa Santa",MG,erlon.machado@clamper.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",33240100,S/N,"KM 9 - GALPAO1- ENTREPOSTO AEROP IND","RODOVIA LMG-800","AEROPORTO INTERNACIONAL TANCREDO NEVES"
210,"USINAL- USINAGEM E CALDEIRARIA MANUTENCAO INDUSTRIAL LTDA",18.341.732/0001-00,GLAUCIO,2433232181,,"Barra Mansa",RJ,comercial@usinal.com.br,30DDL,"FOB - POSTO NA TRANSPORTADORA EM PORTO FELIZ-SP",27321002,821,EMPRESA,"RUA MAJOR JOSE BENTO","VILA NOVA"
